Longitud,Latitud,2008_011,2008_012,2008_013,2008_010,2008_021,2008_022,2008_023,2008_020,2008_031,2008_032,2008_033,2008_030,2008_041,2008_042,2008_043,2008_040,2008_051,2008_052,2008_053,2008_050,2008_061,2008_062,2008_063,2008_060,2008_071,2008_072,2008_073,2008_070,2008_081,2008_082,2008_083,2008_080,2008_091,2008_092,2008_093,2008_090,2008_101,2008_102,2008_103,2008_100,2008_111,2008_112,2008_113,2008_110,2008_121,2008_122,2008_123,2008_120
-57.0,-34.6667,18.72589953,23.15920877,22.41270392,21.4642202,26.74733016,36.96042686,34.09424232,32.49398246,61.44575642,56.93802958,52.59551739,56.85124359,50.14204474,45.49682607,39.90081527,45.17989536,37.068062,39.3185363,68.98410384,49.11906856,67.41240126,72.76644654,92.8352306,77.67135947,93.32150294,91.51129203,98.76353983,94.66860929,97.39339765,97.19818574,92.854066,95.71969548,93.54147466,91.11917148,80.50062184,88.38708933,73.4610703,64.34629339,58.80353178,65.31975763,45.06873276,33.04367745,22.881196600000003,33.6645356,29.45715335,20.72307888,14.25009271,21.2436562
-56.6667,-34.6667,20.78109874,27.20083736,26.39887149,24.845385399999998,28.09385603,39.79986868,35.45585654,34.37800355,66.05273986,60.540586100000006,57.09370641,61.09561387,55.75164526,49.35705577,43.74247122,49.61705742,41.68414996,44.71163799,74.6397528,54.35468259,74.01794993,81.08812085,99.07248724,84.72618601,98.41015559,95.49450061,98.77119839,97.59773369,97.42831789,98.09374129,95.66582439,97.01756968,95.8878296,91.23332512,80.46897855,89.19671109,73.15767863,65.95733523,62.96003076,67.21646700000001,46.99514422,33.69037454,23.00036034,34.5619597,24.90648269,17.24720353,11.75256673,17.76822891
-56.3333,-34.6667,16.19436679,22.84707209,18.93393259,19.31250475,21.53387375,40.94437485,35.50196655,32.45707923,83.73297748,74.67508868,61.38421712,72.88087258,51.95062276,44.24380141,38.60753451,44.93398623,37.6863801,35.14742621,59.13877921,44.47950433,70.41692141,83.43251743,99.31144784,84.38696223,98.62463036,95.91203503,98.73125422,97.78743388,94.32819631,98.9505006,96.96795575,96.75595104,95.90358599,90.61660695,80.36020294,88.96013196,80.79593788,67.61879289,60.21786292,69.24334838,43.58096567,30.13844766,21.31036141,31.67659158,28.09534137,19.32877054,16.28589472,21.07696649
-56.0,-34.6667,14.98422318,17.26108238,13.66309281,15.24990569,17.20174733,28.068955100000004,25.78944977,23.53652223,62.59244504,56.12561169,45.78348493,54.54190005,50.37331378,47.98024239,41.32807635,46.56054417,38.12530432,36.88681287,63.36453594,46.68164733,71.98860454,85.26561720000001,99.63319555,85.62913909999999,98.7753561,95.226864,98.59136562,97.56539429,97.04425155,97.58344012,96.63337555,97.07238864,95.27003922,91.60263707,80.98370443,89.28546024,74.86231931,60.30338337,53.8257103,62.70128517,41.55283714,29.26423033,19.22220403,30.013090500000004,21.55681558,13.90122577,10.51886791,15.17057937
-55.6667,-34.6667,9.328380867,17.57521917,11.03476152,12.5941412,15.10865667,25.45300316,23.32460207,21.150479100000002,70.71078359999998,59.54870574,43.37575825,57.4105882,58.10808941,53.85431254,44.42910788,52.13050327,39.80051974,38.56345820000001,86.24114721,55.88039996,94.35303145,95.49602905,99.38754087,96.41220045,98.15207673,93.50461161,97.92504456,96.57233463,95.857438,96.76302514,94.66786197,95.72745526,93.69927681,87.21832361,72.95726881,84.62495641,60.68094406,45.84172831,39.21268132,48.27632962,28.7386765,18.24026016,12.5786549,19.85253052,26.92274284,16.14472715,8.994697745,17.0843992
-55.3333,-34.6667,9.012769692,24.51476421,12.813073199999998,15.36190788,15.04573069,23.86997905,22.48326963,20.32225909,76.35592221,61.63197125,42.56170293,59.61476345,66.11296234,57.93094583,47.27046496,57.10479104,42.3177842,38.57424269,91.23334091,58.46732319,96.79938515,94.81003216,98.50970445,96.70637392,97.05675938,92.65570548,97.23262861,95.69946979,94.9784315,97.53286809,94.75844525,95.72438367,92.83583227,83.99668605,66.92165923,81.25139252,50.30365441,40.38552946,32.2386107,40.69408246,21.66679031,12.65732505,10.52258009,14.94889848,36.7035773,22.26057798,11.26564294,23.01818146
-55.0,-34.6667,8.609911712,29.16708146,15.06055011,17.530193,13.19279165,17.32450227,22.52015695,17.3333641,82.49414756,62.8849132,46.5435852,63.41193693,78.83329104,61.78962506,47.69030514,62.77107374,39.98841132,36.17794044,85.22938467,54.81247577,90.32914099,94.00473306,97.59887235,93.97758214,95.36661969,91.67412895,96.84293369,94.699347,91.98640544,90.78392671,92.58672431,91.81152545,88.10523781,75.20311968,57.23879129,73.51571626,40.21493693,39.62498605,31.52735709,36.94194057,21.16983761,11.17002642,6.436389414,12.92541782,13.73053834,6.697306165,3.1158008269999997,7.695234005
-54.6667,-34.6667,13.14172557,25.54828306,16.35400931,18.28368351,12.749008199999999,16.04435259,22.63529798,16.75057113,75.32258286,59.97138032,56.31567413,63.62619507,77.58692872,62.69757078,50.09348071,63.45932674,43.05077063,39.35855086,84.97414922,56.73576956,91.9780862,94.61593038,97.82491035,94.80630898,95.92918965,92.63260842,98.36147551,95.72884553,96.44838108,93.33520323,93.1267522,94.26548765,89.0679096,77.03723312,61.11049961,75.73854745,44.77533021,43.41277383,30.98956043,39.44407113,22.61438897,15.61649063,8.534200999,15.588360199999999,7.500481975,4.078779645,2.125320518,4.489391674
-54.3333,-34.6667,23.5184242,30.46377564,22.57839927,25.42530291,17.83433626,25.37315651,26.66033261,23.04848531,63.85475483,53.98989099,45.19082652,54.04985645,52.66700839,49.18919449,42.15077978,48.00232755,37.95553662,36.53004496,84.75653579,54.10250676,92.3246892,95.76157006,98.31657383,95.46761103,95.19912502,91.08396866,98.70218745,95.11467738,97.41042914,96.61080008,96.86202019,96.95788756,92.06506731,85.111115,72.29882347,83.15833526,57.7918674,55.13859264,45.85633863,52.70078469,44.29817107,37.25728483,23.47506148,35.01017246,21.82711747,13.86128742,8.50749376,14.53117678
-54.0,-34.6667,31.55905864,36.35469809,31.70620248,33.15825144,26.77324876,28.9910793,25.77079277,27.278915100000003,52.05376697,45.89457965,37.83982112,45.02327414,40.54506094,39.16555086,34.78277328,38.16446169,31.90706145,31.94959262,68.84210204,45.02676332,76.10719306,92.71151746,98.14079423,88.98650158,94.52094142,90.04340452,98.89626493,94.62910882,96.93814016,97.63405391,98.79468886,97.82140381,91.01886259,89.11706418,79.77895416,86.63829364,70.31966371,58.82154424,49.75662078,59.314029299999994,39.90011484,31.53591939,22.39634168,31.27745864,25.83400547,17.94749473,12.199133300000002,18.4517893
