Longitud,Latitud,2011_011,2011_012,2011_013,2011_010,2011_021,2011_022,2011_023,2011_020,2011_031,2011_032,2011_033,2011_030,2011_041,2011_042,2011_043,2011_040,2011_051,2011_052,2011_053,2011_050,2011_061,2011_062,2011_063,2011_060,2011_071,2011_072,2011_073,2011_070,2011_081,2011_082,2011_083,2011_080,2011_091,2011_092,2011_093,2011_090,2011_101,2011_102,2011_103,2011_100,2011_111,2011_112,2011_113,2011_110,2011_121,2011_122,2011_123,2011_120
-57.0,-34.6667,16.07186054,22.46512692,24.44145779,21.10406163,22.10793929,24.33535647,31.47570005,25.78325028,24.39785787,30.10377451,33.06988822,29.315648200000002,32.1472772,40.39875571,55.77922874,42.77508721,69.8418554,63.76706621,74.53181972,69.54642687,51.92171746,65.89707136,97.31327787,71.71068890000001,92.78424271,95.0293856,98.44859295,95.51841308,92.75515825,95.86302109999998,94.02039136,94.20664834,87.16388559,72.04299166,60.17306163,73.1266463,62.53399901,76.62826942,61.0421196,66.55116128,48.52926177,45.25898524,52.81389563,48.86738088,37.56746165,37.02400711,40.92712497,38.58429233
-56.6667,-34.6667,18.482441199999997,23.52547207,20.04434014,20.66344756,15.40952108,17.63539922,24.48637925,18.99402125,19.02953978,28.56804533,33.26812217,27.15887726,34.54597534,41.82697598,58.85187013,45.07494048,77.37937743,70.58441295,81.42687604,76.62366259,58.18124029999999,73.65456307,98.48629262,76.77403199999999,92.61309251,94.89211572,98.49454296,95.43522757,92.98344698,96.47846928,94.29330822,94.575663,87.02946031,72.52586639,61.65410068,73.73647579,64.49621977,77.84693958,61.18878743,67.62929855,47.87674127,44.10647634,52.98545654,48.32289138,38.900478799999995,38.45148379,33.81529094,36.9512202
-56.3333,-34.6667,14.17505696,11.61479361,7.936541398999999,11.13549875,12.09498847,14.41322328,22.99987839,16.27865596,18.64882365,18.55377511,29.4819718,22.46218314,38.00153589,43.0540008,52.83931556,44.63161741,64.99436338,59.44188726,68.43972753,64.42579062,54.80937845,73.58740408,98.16582007,75.52086754,92.16625994,94.59744673,98.39366070000001,95.16023659,93.46394429,96.19576045,93.7420338,94.44385223,87.73226731,72.79455696,61.97038661,74.16573696,63.57531399,78.52414118,63.606770700000006,68.40867837,53.71383773,55.06559489,65.87275965,58.21739742,51.25595876,48.59321503,43.76145798,47.73767018
-56.0,-34.6667,10.13025222,10.59920715,9.0279868,9.890401565,12.44565652,13.90660784,26.60227557,17.34286634,22.63879345,21.61550943,45.87456971,30.553654700000003,53.73264756,57.08498829999999,71.41380877,60.74381488,77.33560414,69.8032631,81.98064945,76.55405859,71.65538199999999,83.28057912,99.02852326,84.65482813,93.09316606,94.99940377,98.32192281,95.56344675,91.73947175,97.0943563,94.39657688,94.40969762,86.48954717,73.16069654,64.10282985,74.58435785,63.68219809,78.42425472,58.88676109,66.73609355,45.604452,43.44387448,52.3741248,47.1408171,44.54972934,61.95889081,57.64616105,54.81270881
-55.6667,-34.6667,9.880517577,8.227314697,6.915892617000001,8.29526263,17.06992497,17.08630874,33.37606115,22.13609957,29.71183732,31.92252988,64.59751963,42.80375445,66.64524724,67.72023245,84.44369443,72.93639137,87.21647754,76.15993177,91.76741651,85.26469918,86.05947320000001,91.33235819,98.70200238,92.03127792,90.95223968,93.56114058,97.74972028,94.20582986,90.63785136,96.71736777,92.80698854,93.36867952,81.59987306,67.92819289,59.49876103,69.67560899,57.07495383,74.36539406,49.68205793,60.02922955,34.40651621,32.68921601,42.39243991,36.49605738,35.23664104,56.948938600000005,52.42965125,48.34135355
-55.3333,-34.6667,16.25386283,10.36368371,7.049282002000001,11.08766346,23.67644784,20.89284222,36.37451967,26.65736475,33.60339163,40.05489118,76.80953001,51.01573091,71.69524121,66.60363849,78.24808405,72.18232125,79.46457115,68.64315713,89.57198411,79.56029381,90.05772475,92.52441505,98.5262429,93.70279423,90.11325875,93.05342079,97.88864596,93.82070648,92.23438129,96.99224107,92.65385283,93.91801951,79.20263022,65.73056721,58.35641169,67.76320304,55.72719087,72.06795097,45.40405432,57.33535535,30.31113088,30.94680993,39.031381200000006,33.429774,31.48878602,45.51693673,41.945150399999996,39.72431877
-55.0,-34.6667,13.50643508,6.7419222329999995,4.5863920469999995,8.1591576,17.25820687,12.85778261,31.32308067,20.10578003,33.04741553,46.76154417,79.31089982,53.88740307,63.94900781,51.45041262,58.37118869,57.92353638,69.27024535,59.31252697,87.93626776,72.68150544,87.1259572,90.28683457,98.32222378,91.91167185,89.14117244,92.11022486,97.05922601,92.90856319,92.45442092,97.31748183,93.1476903,94.26914906,76.62864518,65.70556581,62.51441107,68.28287402,66.12857048,83.00030256,48.70326111,65.38789041,30.03899824,28.37195942,32.78591157,30.39895641,19.39278782,33.81271017,31.83139847,28.45807623
-54.6667,-34.6667,12.29393242,7.005670584,4.940068585,7.978605952000001,17.20602284,15.16022752,36.83623003,22.59270944,43.39799948,65.09476819,84.38843149,64.94194913,70.38103775,63.57793445,79.47626218,71.14507813,84.99055253,76.31234053,92.53211025,84.86716591,88.80982642,91.6685717,98.52708908,93.00182907,90.64041659,93.53893344,98.03257743,94.19844684,93.72782539,97.93363568,94.98622626,95.53106773,79.84733790000001,65.87793128,58.68243543,68.13590154,62.04274504,76.62045064,48.38452458,61.89876539,29.957659399999997,21.220782999999997,20.54919895,23.90921378,15.443238800000001,21.87489475,22.71072959,20.09675358
-54.3333,-34.6667,12.09976997,11.67948734,7.917357696,10.48011315,14.66959591,12.61891317,38.76655041,21.44082912,43.62028787,50.04454514,66.69060373,53.87887004,58.41646946,55.26871079,70.16937879,61.28485301,73.86284039,68.93831122,90.02849819,78.01048375,80.26125981,85.98993561,98.86739231,88.37286258,92.88261903,95.05718893,98.52224074,95.58524928,94.54420247,98.40252129,96.04050592,96.31976783,85.4487686,74.33529357,67.63591283,75.80665834,68.00890947,78.15703081,55.18006524,66.73032646,38.45272196,28.03664871,21.89096464,29.46011177,21.93347649,23.52208068,20.23330907,21.84264424
-54.0,-34.6667,10.27362728,10.7672771,7.172009488,9.332295104,6.53164924,4.858778743,24.15778091,11.42497614,25.79206951,23.11460219,24.96528095,24.63499379,21.53930841,19.27506446,21.25516104,20.68984464,31.23482839,29.19620287,48.21997588,36.60419507,52.15760865,55.46050793,94.58684432,67.40165363,94.39521161,95.88887634,97.72724524,96.05937346,95.02388424,98.75634755,96.86253945,96.8803307,89.89387468,78.55692356,69.34892369,79.26657398,70.49339734,86.34292174,66.43602576,74.16643465,49.40562736,35.68931718,26.71994463,37.27162972,23.44323018,20.77037091,17.52459404,20.4808563
