Longitud,Latitud,2001_011,2001_012,2001_013,2001_010,2001_021,2001_022,2001_023,2001_020,2001_031,2001_032,2001_033,2001_030,2001_041,2001_042,2001_043,2001_040,2001_051,2001_052,2001_053,2001_050,2001_061,2001_062,2001_063,2001_060,2001_071,2001_072,2001_073,2001_070,2001_081,2001_082,2001_083,2001_080,2001_091,2001_092,2001_093,2001_090,2001_101,2001_102,2001_103,2001_100,2001_111,2001_112,2001_113,2001_110,2001_121,2001_122,2001_123,2001_120
-57.0,-34.6667,59.92422862,53.86437494,57.58987022,57.14111639,62.29412637,76.11399138,75.49858725,71.1575332,90.33018157,88.2130038,99.28648563,92.82526438,93.37126002,93.81330692,96.91954,94.70136898,98.84731449,98.96954703,98.01389892,98.59101623,99.66240851,99.43557675,98.44220538,99.18006355,98.98620003,99.34147577,98.92199859,99.07802395,96.04985933,98.79301887,97.46787995,97.43791811,98.43093867,91.70302187,82.6274649,90.92047515,98.02570377,97.56957966,97.61695065,97.73352553,94.92049382,87.93145466,92.37463379,91.74219409,96.97013133,85.58550546,69.02873765,83.38298329
-56.6667,-34.6667,60.73563185,56.28651354,60.3827647,59.17522147,65.99257954,81.22210558,80.46227792,75.73473629,93.48451476,89.70502428,99.45391182,94.38349743,92.76482427,92.94013725,96.9751287,94.22669674,98.96291261,99.55093353,98.15757736,98.86683266,99.76125086,99.57233377,98.65385217,99.32914559999999,99.34877051,99.39383319,99.10392284,99.27642543,97.44548521,99.38286547,97.46431774,98.0771291,98.39889369,92.09410596,82.22979408,90.90759791,95.92703298,97.495277,97.6345179,97.03879989,94.86296569,87.31998202,89.87366779,90.6855385,94.77790812,84.04306743,68.22889389,81.89443833
-56.3333,-34.6667,57.20124954,49.02412471,55.28953348,53.88511648,67.49995156,87.9196112,92.33047659,82.24723851,96.07050848,89.74722461,99.50028584,95.24775726,92.13750671,94.54724284,97.62546932,94.77007296,99.08823324,99.57766932,98.36715637,98.99024986,99.79698639,99.59706448,98.85031094,99.41478727,99.13125651,99.39476490000001,98.90331645,99.13537726,97.66170053,99.48257109,97.53112488,98.20274483,98.53481176,92.01552118,81.99510392,90.84847895,95.0883958,97.37999093,97.30444868,96.61396138,94.80699514,86.46237673,88.74219884,90.0038569,88.25358144,79.32197962,64.39223262,76.90548934
-56.0,-34.6667,52.09329871,43.12425836,57.44405607,51.09871573,74.48280853,85.97226103,91.11735443,83.60713398,95.64064027,88.44574027,99.45770802,94.67414818,91.77167641,95.22211209,97.66263237,94.88547362,99.45947358,99.48508174,98.13577942,98.99803635,99.74727497,99.43469344,98.40437682,99.19544841,98.98015776,99.2627401,99.12125824,99.12138127,97.60633269,99.35739145,97.26640756,98.05057176,98.58693753,92.28415614,80.35875322,90.40994896,88.8036243,96.11064,97.52415602,94.25510836,93.50876606,84.1671413,88.92257059999999,88.86615932,90.34549233,78.76304136,57.13338806,74.8242776
-55.6667,-34.6667,48.47164232,38.64192877,59.725412600000006,49.29404031,79.02005949,81.32673747,88.94213221,82.89472964,94.41145298,85.03027249,99.26616235,93.10790453,90.55888029,95.1004463,97.02559594,94.22830751,99.23629794,99.26798211,97.51584119,98.63603399,99.63750777,99.18670666,97.49664274,98.77361906,98.70603528,98.93633848,98.81062173,98.81743796,96.78804821,99.01419304,96.21434144,97.30258608,98.09529684,91.57706407,77.20580266,88.95938786,91.14659566,94.74028552,96.67894859,94.26894343,91.39410249,80.02224095,87.38580834,86.26738392,90.30349508,72.67469935,47.15033249,69.30437425
-55.3333,-34.6667,46.26821866,38.399806899999994,59.71583646,48.50175667,79.79501231,78.97978543,88.0253433,82.06814024,94.22648575,83.28287216,99.17678077,92.45284411,91.63397307,94.85068537,96.56086540000001,94.34850795,99.10367435,99.12389540000001,97.1595328,98.42034059,99.54058408,99.01338596,96.83801665,98.46399556,98.58715461,98.72619562,98.65745629,98.65695231,95.35288283,97.97859958,95.55173828,96.27044985,97.87001418,91.71883105,76.80791655,88.79892059999999,96.82191321,94.13086236,96.26584235,95.75651682,90.65802005,79.35800684,88.90462245,86.30688312,93.36202217,70.44463214,44.55406612,68.65036356
-55.0,-34.6667,35.36116217,32.73501111,47.93867088,38.97700363,65.30077338,76.53011007,87.12820867,75.94699009,93.89757122,80.56319054,99.07336711,91.43273083,92.67805521,94.50604799,96.01940221,94.40116847,98.95033406,98.94136648,96.95083076,98.23794012,99.33800234,98.68325077,96.08137994,98.03421102,98.14099058,98.47708465,98.4212297,98.34884771,93.59367365,96.62002406,94.7746622,94.98897617,97.60840968,88.95058378,72.95399277,86.50432875,97.22841070000001,93.43764902,95.71576589,95.46883942,89.34877146,79.06809742,89.71372811,86.04353233,92.60207925,68.09826799,42.03593566,66.75479886
-54.6667,-34.6667,32.02020407,28.26481779,40.74193578,33.90359717,50.93006491,79.02953923,88.74238781,72.35439764,94.68344944,81.17501281,99.08504549999999,91.8877459,94.24815289,94.1480882,96.20487633,94.86703914,99.05377274,99.02029382,97.36553978,98.44392268,99.30742431,98.68472270000001,96.30277671,98.09830790000001,98.01346140000001,98.59732716,98.28498615,98.29815268,93.41051779,96.27332184,95.25640987,94.98899693,97.91250638,90.5974652,76.3296403,88.27987063,96.12206518,94.32478615,95.36074331,95.27215128,89.42773853,83.41590196,91.78455623,88.20939891,92.79713711,72.08228694,46.88600170000001,69.82387933
-54.3333,-34.6667,34.83223444,28.29680895,39.76433667,34.47413346,42.24467606,69.6261099,85.52105838,65.11715121,95.32123825,84.30585801,99.12910669,93.11906891,95.6979692,94.19983422,96.69453244,95.53077862,99.25510807,99.18151017,97.99310714,98.78356003,99.39557231,98.88290802,96.98127627,98.41991887,98.41526553,98.87605425,98.4592943,98.57953017,94.17962278,96.67700041,96.27233049,95.72780217,98.39607036,91.74866024,79.21114149,89.7852907,89.68435620000001,93.38860481,95.958292,93.10551039,91.36627938,87.33034961,92.48385242,90.3934938,90.46820539,76.22702834,54.48042968,73.10442141
-54.0,-34.6667,42.89715378,34.3050565,45.80007359,41.15557782,48.89410919,67.67501183,83.33344225,66.05835139,95.9008232,88.37513906,99.23985837,94.65800208,96.68397909,94.98431055,97.67832419,96.44887128,99.39337267,99.30831841,98.39892038,99.01306564,99.4702639,99.03724762,97.46186812,98.65645988,98.88406346,99.07951234,98.68312586,98.87581105,95.13667779,97.44878996,97.10781113,96.58195484,98.71230343,93.7911537,82.79354056,91.76566590000002,83.87772127,90.33390621,96.8553662,90.56533236,90.98906867,89.03826423,93.36201327,91.12978206,90.49932954,77.91815079,60.04842724,75.63572590000001
-58.3333,-34.3333,60.60073963,52.94245934,52.90441304,55.39937204,55.79503276,71.88372786,58.73159953,62.25420697,90.28174981,91.11021525,98.53898105,93.47898199999999,92.98807173,96.19075107,91.77775569,93.65219283,91.13588453,95.05595908,97.49457158,94.65673301,99.33479977,98.66003852,96.71398168,98.23627332,97.66245294,99.02606026,96.94412822,97.84743685,90.35902027,95.20982065,96.87216425,94.23491019,97.89320505,90.54351574,84.2908428,90.90918786,94.34900929,95.56137568,96.70237982,95.57516219,94.31299678,87.64119185,86.58903693,89.51440852,83.06391946,77.00297083,57.91096991,72.18353458
